,fighter,page_rank,run_date,D,L,NC,W,n_fights,perf_rat,adj_p_rank
0,Amanda Nunes,0.009480025720167654,2024-03-16,0.0,5.0,0.0,44.0,49.0,0.8979591836734694,0.008512676156885241
1,Jon Jones,0.008069147030606584,2024-03-16,0.0,3.0,3.0,61.0,67.0,0.9552238805970149,0.007707841939683901
2,Israel Adesanya,0.008656659710399339,2024-03-16,0.0,5.0,0.0,33.0,38.0,0.868421052631579,0.007517625537978374
3,Francis Ngannou,0.0076472992491452944,2024-03-16,0.0,6.0,0.0,35.0,41.0,0.8536585365853658,0.006528182285855739
4,Stipe Miocic,0.008047712980712256,2024-03-16,0.0,12.0,0.0,42.0,54.0,0.7777777777777778,0.006259332318331755
5,Matt Hamill,0.008332584940732614,2024-03-16,0.0,15.0,0.0,30.0,45.0,0.6666666666666666,0.005555056627155075
6,Derrick Lewis,0.007672651013834287,2024-03-16,0.0,22.0,0.0,51.0,73.0,0.6986301369863014,0.005360345228843132
7,Curtis Blaydes,0.006719240437141025,2024-03-16,0.0,10.0,3.0,33.0,46.0,0.782608695652174,0.005258535994284281
8,Alex Pereira,0.005267132812790701,2024-03-16,0.0,1.0,0.0,8.0,9.0,0.8888888888888888,0.004681895833591734
9,Kamaru Usman,0.004984013704096421,2024-03-16,0.0,3.0,0.0,44.0,47.0,0.9361702127659575,0.004665885169792394
10,Leon Edwards,0.005333682389946628,2024-03-16,0.0,6.0,3.0,35.0,44.0,0.8636363636363636,0.004606362064044816
11,Belal Muhammad,0.005417700704445418,2024-03-16,0.0,9.0,3.0,35.0,47.0,0.8085106382978723,0.004380268654657997
12,Julianna Pena,0.005846707954377085,2024-03-16,0.0,7.0,0.0,20.0,27.0,0.7407407407407407,0.004330894781020063
13,Aljamain Sterling,0.005148376591653696,2024-03-16,0.0,10.0,0.0,40.0,50.0,0.8,0.004118701273322957
14,Jan Blachowicz,0.00612391757688902,2024-03-16,2.0,18.0,0.0,34.0,54.0,0.6666666666666666,0.004082611717926013
15,Marlon Vera,0.0061753841945392995,2024-03-16,0.0,20.0,0.0,38.0,58.0,0.6551724137931034,0.004045941368836093
16,Brandon Moreno,0.0052275052435655335,2024-03-16,12.0,10.0,0.0,22.0,44.0,0.7727272727272727,0.004039435870027912
17,Dustin Poirier,0.00511675657989028,2024-03-16,0.0,18.0,3.0,61.0,82.0,0.7804878048780488,0.003993566111133877
18,Islam Makhachev,0.004330960628619538,2024-03-16,0.0,3.0,0.0,33.0,36.0,0.9166666666666666,0.003970047242901243
19,Daniel Cormier,0.004797979385743708,2024-03-16,0.0,9.0,3.0,33.0,45.0,0.8,0.0038383835085949664
20,Sean Strickland,0.0047319446375294364,2024-03-16,0.0,12.0,0.0,37.0,49.0,0.7551020408163265,0.0035731010528283497
21,Khabib Nurmagomedov,0.003418775341820766,2024-03-16,0.0,0.0,0.0,39.0,39.0,1.0,0.003418775341820766
22,Valentina Shevchenko,0.00407291676612855,2024-03-16,2.0,7.0,0.0,33.0,42.0,0.8333333333333334,0.003394097305107125
23,Sean O'Malley,0.0037921555847388634,2024-03-16,0.0,3.0,1.0,22.0,26.0,0.8846153846153846,0.0033545991711151483
24,Max Holloway,0.004371773440158831,2024-03-16,0.0,19.0,0.0,58.0,77.0,0.7532467532467533,0.0032930241497300286
25,Junior Dos Santos,0.004995926589387998,2024-03-16,0.0,24.0,0.0,45.0,69.0,0.6521739130434783,0.0032582129930791293
26,Khamzat Chimaev,0.0032582035799362573,2024-03-16,0.0,0.0,0.0,15.0,15.0,1.0,0.0032582035799362573
27,Cory Sandhagen,0.004019677691713351,2024-03-16,0.0,7.0,0.0,24.0,31.0,0.7741935483870968,0.0031120085355200136
28,Donald Cerrone,0.004782852451439006,2024-03-16,0.0,40.0,3.0,69.0,112.0,0.6428571428571429,0.003074690861639361
29,Alexander Volkanovski,0.0033280603621926156,2024-03-16,0.0,3.0,0.0,33.0,36.0,0.9166666666666666,0.0030507219986765644
30,Ilia Topuria,0.0030225374133270983,2024-03-16,0.0,0.0,0.0,13.0,13.0,1.0,0.0030225374133270983
31,Charles Oliveira,0.004136366412155482,2024-03-16,0.0,25.0,3.0,61.0,89.0,0.7191011235955056,0.0029744657345837176
32,Merab Dvalishvili,0.003746259250644031,2024-03-16,0.0,6.0,0.0,23.0,29.0,0.7931034482758621,0.002971171129821128
33,Georges St-Pierre,0.0032676761339273507,2024-03-16,0.0,6.0,0.0,60.0,66.0,0.9090909090909091,0.002970614667206682
34,Beneil Dariush,0.003781641682055566,2024-03-16,6.0,14.0,0.0,45.0,65.0,0.7846153846153846,0.002967134242843598
35,Henry Cejudo,0.003711375593216675,2024-03-16,0.0,8.0,0.0,30.0,38.0,0.7894736842105263,0.002930033363065796
36,Deiveson Figueiredo,0.003360379129242198,2024-03-16,6.0,6.0,0.0,30.0,42.0,0.8571428571428571,0.0028803249679218838
37,Demetrious Johnson,0.0031913823358535455,2024-03-16,6.0,6.0,0.0,45.0,57.0,0.8947368421052632,0.0028554473531321196
38,Petr Yan,0.003544549997304304,2024-03-16,0.0,7.0,0.0,24.0,31.0,0.7741935483870968,0.0027441677398484933
39,Adriano Martins,0.0047570269237949755,2024-03-16,0.0,9.0,0.0,12.0,21.0,0.5714285714285714,0.0027183010993114144
40,Vicente Luque,0.0034861983643347133,2024-03-16,0.0,12.0,0.0,42.0,54.0,0.7777777777777778,0.002711487616704777
41,Glover Teixeira,0.0036638212580719655,2024-03-16,0.0,17.0,0.0,47.0,64.0,0.734375,0.0026906187363965996
42,Robert Whittaker,0.003414387075372382,2024-03-16,0.0,12.0,0.0,44.0,56.0,0.7857142857142857,0.0026827327020783
43,Stephen Thompson,0.0038027247703368364,2024-03-16,6.0,17.0,0.0,34.0,57.0,0.7017543859649122,0.0026685787862012885
44,Conor McGregor,0.0036272104601897132,2024-03-16,0.0,11.0,0.0,30.0,41.0,0.7317073170731707,0.002654056434285156
45,Tom Aspinall,0.0027596991536807795,2024-03-16,0.0,1.0,0.0,15.0,16.0,0.9375,0.0025872179565757307
46,Ciryl Gane,0.0029462454055507546,2024-03-16,0.0,3.0,0.0,21.0,24.0,0.875,0.0025779647298569104
47,Dricus Du Plessis,0.0025285482166169915,2024-03-16,0.0,0.0,0.0,10.0,10.0,1.0,0.0025285482166169915
48,Song Yadong,0.0029153781141926793,2024-03-16,6.0,5.0,0.0,23.0,34.0,0.8529411764705882,0.002486646038576109
49,Matt Hughes,0.003278390084913971,2024-03-16,0.0,21.0,0.0,54.0,75.0,0.72,0.002360440861138059
50,Raphael Assuncao,0.003607960226357456,2024-03-16,0.0,18.0,0.0,34.0,52.0,0.6538461538461539,0.0023590509172337214
51,Shavkat Rakhmonov,0.002341338687555637,2024-03-16,0.0,0.0,0.0,10.0,10.0,1.0,0.002341338687555637
52,Sergei Pavlovich,0.003183232824301794,2024-03-16,0.0,4.0,0.0,11.0,15.0,0.7333333333333333,0.0023343707378213154
53,Alistair Overeem,0.003878563998008312,2024-03-16,0.0,24.0,0.0,36.0,60.0,0.6,0.002327138398804987
54,Magomed Ankalaev,0.0025731572601879684,2024-03-16,2.0,3.0,1.0,24.0,30.0,0.9,0.0023158415341691715
55,Michael Bisping,0.0032825457493220046,2024-03-16,0.0,27.0,0.0,60.0,87.0,0.6896551724137931,0.002263824654704831
56,Alexander Gustafsson,0.003878929408450327,2024-03-16,0.0,22.0,0.0,30.0,52.0,0.5769230769230769,0.002237843889490573
57,Neil Magny,0.0031442211977468757,2024-03-16,0.0,24.0,0.0,59.0,83.0,0.7108433734939759,0.0022350488032176585
58,Ricky Simon,0.0030401525648685998,2024-03-16,0.0,8.0,0.0,21.0,29.0,0.7241379310344828,0.002201489788353124
59,TJ Dillashaw,0.0029476602139481283,2024-03-16,0.0,13.0,0.0,38.0,51.0,0.7450980392156863,0.002196295845686841
60,Elizeu Zaleski dos Santos,0.0028537724166526643,2024-03-16,2.0,9.0,0.0,27.0,38.0,0.7631578947368421,0.0021778789495507174
61,Askar Askarov,0.0024643137902403698,2024-03-16,6.0,2.0,0.0,9.0,17.0,0.8823529411764706,0.002174394520800326
62,Lyoto Machida,0.0032366697907692675,2024-03-16,0.0,24.0,0.0,48.0,72.0,0.6666666666666666,0.002157779860512845
63,Geoff Neal,0.0030864552551669996,2024-03-16,0.0,8.0,0.0,18.0,26.0,0.6923076923076923,0.002136776715115615
64,Rafael Dos Anjos,0.0033913463453504222,2024-03-16,0.0,36.0,0.0,60.0,96.0,0.625,0.002119591465844014
65,Rashad Evans,0.0031494265662601636,2024-03-16,6.0,24.0,0.0,42.0,72.0,0.6666666666666666,0.002099617710840109
66,Germaine de Randamie,0.002655323054158967,2024-03-16,0.0,6.0,0.0,21.0,27.0,0.7777777777777778,0.0020652512643458635
67,Demian Maia,0.0030228051891077554,2024-03-16,0.0,32.0,0.0,66.0,98.0,0.673469387755102,0.0020357667600113456
68,Nicolas Dalby,0.002767416333745423,2024-03-16,6.0,8.0,3.0,13.0,30.0,0.7333333333333333,0.0020294386447466434
69,Cat Zingano,0.004663946519869881,2024-03-16,0.0,12.0,0.0,9.0,21.0,0.42857142857142855,0.0019988342228013773
