fighter,page_rank,run_date,perf_rat,n_fights,adj_p_rank,weight,wight_class_rank
Israel Adesanya,0.008656659710399339,2024-03-16,0.75,8.0,0.006492494782799504,Middleweight,1
Alex Pereira,0.005267132812790701,2024-03-16,0.8571428571428571,7.0,0.004514685268106315,Middleweight,2
Sean Strickland,0.0047319446375294364,2024-03-16,0.75,12.0,0.003548958478147077,Middleweight,3
Khamzat Chimaev,0.0032582035799362573,2024-03-16,1.0,1.0,0.0032582035799362573,Middleweight,4
Dricus Du Plessis,0.0025285482166169915,2024-03-16,1.0,7.0,0.0025285482166169915,Middleweight,5
Robbie Lawler,0.0021546871304470375,2024-03-16,1.0,2.0,0.0021546871304470375,Middleweight,6
Robert Whittaker,0.003414387075372382,2024-03-16,0.625,8.0,0.0021339919221077387,Middleweight,7
Jared Cannonier,0.002422506385385667,2024-03-16,0.8571428571428571,7.0,0.0020764340446162858,Middleweight,8
Paul Craig,0.002479935805460823,2024-03-16,0.5,2.0,0.0012399679027304115,Middleweight,9
Michel Pereira,0.001213721286670638,2024-03-16,1.0,2.0,0.001213721286670638,Middleweight,10
Brendan Allen,0.0012761837039287247,2024-03-16,0.8333333333333334,12.0,0.001063486419940604,Middleweight,11
Jack Hermansson,0.0016413070296243386,2024-03-16,0.5714285714285714,7.0,0.0009378897312139077,Middleweight,12
Chris Curtis,0.0011178380024291453,2024-03-16,0.8,10.0,0.0008942704019433163,Middleweight,13
Uriah Hall,0.0016690767285282549,2024-03-16,0.5,6.0,0.0008345383642641274,Middleweight,14
Derek Brunson,0.0020788463702219825,2024-03-16,0.4,5.0,0.000831538548088793,Middleweight,15
Marvin Vettori,0.0015366144667775885,2024-03-16,0.5,8.0,0.0007683072333887943,Middleweight,16
Brad Tavares,0.0015363804218943547,2024-03-16,0.5,6.0,0.0007681902109471773,Middleweight,17
Paulo Costa,0.0013423626731124856,2024-03-16,0.5,2.0,0.0006711813365562428,Middleweight,18
Kevin Holland,0.0015086992432649644,2024-03-16,0.4,5.0,0.0006034796973059858,Middleweight,19
Caio Borralho,0.0005294665348365629,2024-03-16,1.0,6.0,0.0005294665348365629,Middleweight,20
Michal Oleksiejczuk,0.0008695577775336155,2024-03-16,0.6,5.0,0.0005217346665201693,Middleweight,21
Gerald Meerschaert,0.0007025612044766785,2024-03-16,0.6923076923076923,13.0,0.00048638852617616203,Middleweight,22
Anthony Hernandez,0.0004777375855002702,2024-03-16,1.0,5.0,0.0004777375855002702,Middleweight,23
Andre Muniz,0.000598415059367269,2024-03-16,0.75,8.0,0.0004488112945254517,Middleweight,24
Nassourdine Imavov,0.0004414529835178371,2024-03-16,1.0,7.0,0.0004414529835178371,Middleweight,25
Kelvin Gastelum,0.0026073163901110317,2024-03-16,0.16666666666666666,6.0,0.0004345527316851719,Middleweight,26
Roman Dolidze,0.0005015557659726924,2024-03-16,0.7142857142857143,7.0,0.0003582541185519231,Middleweight,27
Ikram Aliskerov,0.00033338983279687217,2024-03-16,1.0,2.0,0.00033338983279687217,Middleweight,28
Nursulton Ruziboev,0.0003163875589641992,2024-03-16,1.0,1.0,0.0003163875589641992,Middleweight,29
Gregory Rodrigues,0.0003918949840850183,2024-03-16,0.7272727272727273,11.0,0.0002850145338800133,Middleweight,30
Ihor Potieria,0.0002782972288492063,2024-03-16,1.0,1.0,0.0002782972288492063,Middleweight,31
Rodolfo Vieira,0.0003358126513525544,2024-03-16,0.8,5.0,0.00026865012108204353,Middleweight,32
Krzysztof Jotko,0.0005162853357014435,2024-03-16,0.5,8.0,0.00025814266785072177,Middleweight,33
Joaquin Buckley,0.0003362895908669225,2024-03-16,0.7142857142857143,7.0,0.00024020685061923035,Middleweight,34
Bryan Battle,0.0002393794020068729,2024-03-16,1.0,4.0,0.0002393794020068729,Middleweight,35
Bruno Silva,0.00036313253130596234,2024-03-16,0.5833333333333334,12.0,0.00021182730992847805,Middleweight,36
Armen Petrosyan,0.0003154471273758558,2024-03-16,0.6666666666666666,6.0,0.00021029808491723718,Middleweight,37
Andre Petroski,0.00022698633690409597,2024-03-16,0.875,8.0,0.00019861304479108397,Middleweight,38
Brunno Ferreira,0.0002961710268055669,2024-03-16,0.6666666666666666,3.0,0.00019744735120371125,Middleweight,39
Wellington Turman,0.00027333708556831395,2024-03-16,0.5714285714285714,7.0,0.00015619262032475083,Middleweight,40
Phil Hawes,0.0003159991584131547,2024-03-16,0.4444444444444444,9.0,0.00014044407040584653,Middleweight,41
JunYong Park,0.00018727796237957449,2024-03-16,0.7142857142857143,7.0,0.0001337699731282675,Middleweight,42
Joe Pyfer,0.0001737658329309602,2024-03-16,0.75,4.0,0.00013032437469822015,Middleweight,43
Jacob Malkoun,0.0001606527524631389,2024-03-16,0.75,8.0,0.00012048956434735417,Middleweight,44
Abdul Razak Alhassan,0.0003565730840809458,2024-03-16,0.3333333333333333,9.0,0.0001188576946936486,Middleweight,45
Eryk Anders,0.0003545670173296417,2024-03-16,0.3333333333333333,6.0,0.00011818900577654723,Middleweight,46
Marc-Andre Barriault,0.00018503613874459597,2024-03-16,0.6363636363636364,11.0,0.00011775027011019744,Middleweight,47
Makhmud Muradov,0.00027412126744174106,2024-03-16,0.4,5.0,0.00010964850697669643,Middleweight,48
Julian Marquez,0.00016096317071908868,2024-03-16,0.6,5.0,9.657790243145321e-05,Middleweight,49
Shara Magomedov,9.221535029752436e-05,2024-03-16,1.0,1.0,9.221535029752436e-05,Middleweight,50
Cody Brundage,0.00017622619239902372,2024-03-16,0.5,10.0,8.811309619951186e-05,Middleweight,51
Roman Kopylov,0.00014936463479720696,2024-03-16,0.5714285714285714,7.0,8.535121988411825e-05,Middleweight,52
Sedriques Dumas,0.00010971552561163763,2024-03-16,0.6666666666666666,3.0,7.314368374109175e-05,Middleweight,53
Kyle Daukaus,0.00024152549292732697,2024-03-16,0.2857142857142857,7.0,6.900728369352199e-05,Middleweight,54
