,fighter,page_rank,perf_rat,n_fights,adj_p_rank,weight
0,Belal Muhammad,0.005417700704445418,1.0,8.0,0.005417700704445418,Welterweight
1,Leon Edwards,0.005333682389946628,1.0,5.0,0.005333682389946628,Welterweight
2,Kamaru Usman,0.004984013704096421,0.7142857142857143,7.0,0.0035600097886403005,Welterweight
3,Khamzat Chimaev,0.0032582035799362573,1.0,4.0,0.0032582035799362573,Welterweight
4,Elizeu Zaleski dos Santos,0.0028537724166526634,1.0,4.0,0.0028537724166526634,Welterweight
5,Shavkat Rakhmonov,0.0023413386875556367,1.0,7.0,0.0023413386875556367,Welterweight
6,Vicente Luque,0.0034861983643347137,0.6666666666666666,9.0,0.002324132242889809,Welterweight
7,Neil Magny,0.0031442211977468757,0.7272727272727273,11.0,0.0022867063256340916,Welterweight
8,Jim Miller,0.0019975378092571367,1.0,1.0,0.0019975378092571367,Welterweight
9,Nicolas Dalby,0.0027674163337454223,0.6666666666666666,6.0,0.0018449442224969482,Welterweight
10,Rafael Dos Anjos,0.0033913463453504227,0.5,2.0,0.0016956731726752113,Welterweight
11,Ian Machado Garry,0.0014975461636094543,1.0,7.0,0.0014975461636094543,Welterweight
12,Gilbert Burns,0.0026346655886225236,0.5,8.0,0.0013173327943112618,Welterweight
13,Gunnar Nelson,0.0013074754261211648,1.0,3.0,0.0013074754261211648,Welterweight
14,Michel Pereira,0.0012137212866706383,1.0,5.0,0.0012137212866706383,Welterweight
15,Rinat Fakhretdinov,0.001161762243598554,1.0,4.0,0.001161762243598554,Welterweight
16,Geoff Neal,0.003086455255167,0.375,8.0,0.001157420720687625,Welterweight
17,Court McGee,0.0016912570086045392,0.6666666666666666,6.0,0.0011275046724030261,Welterweight
18,Robbie Lawler,0.0021546871304470383,0.5,2.0,0.0010773435652235192,Welterweight
19,Randy Brown,0.001176113818494825,0.9090909090909091,11.0,0.0010691943804498408,Welterweight
20,Jack Della Maddalena,0.0009907556391038996,1.0,8.0,0.0009907556391038996,Welterweight
21,Matt Brown,0.0016132926517744498,0.6,5.0,0.0009679755910646699,Welterweight
22,Nate Diaz,0.00283818608567856,0.3333333333333333,3.0,0.00094606202855952,Welterweight
23,Kevin Holland,0.0015086992432649647,0.625,8.0,0.0009429370270406029,Welterweight
24,Francisco Trinaldo,0.0014587614624966183,0.5714285714285714,7.0,0.0008335779785694961,Welterweight
25,Sean Brady,0.0010883987821003803,0.75,4.0,0.0008162990865752853,Welterweight
26,Colby Covington,0.002022970526215852,0.4,5.0,0.0008091882104863408,Welterweight
27,Alex Morono,0.0008837442785285604,0.9,10.0,0.0007953698506757043,Welterweight
28,Daniel Rodriguez,0.0009749689342741501,0.7777777777777778,9.0,0.0007583091711021167,Welterweight
29,Santiago Ponzinibbio,0.0020527803830182154,0.3333333333333333,6.0,0.0006842601276727384,Welterweight
30,Tim Means,0.0012806946193266331,0.5,6.0,0.0006403473096633166,Welterweight
31,Stephen Thompson,0.0038027247703368372,0.16666666666666666,6.0,0.0006337874617228062,Welterweight
32,Muslim Salikhov,0.0010504775777259235,0.5,6.0,0.0005252387888629617,Welterweight
33,Niko Price,0.001544292364867926,0.3333333333333333,6.0,0.000514764121622642,Welterweight
34,Li Jingliang,0.0015167835185709775,0.3333333333333333,3.0,0.0005055945061903258,Welterweight
35,Jake Matthews,0.0009902948474440096,0.5,4.0,0.0004951474237220048,Welterweight
36,Bryan Barberena,0.0008833093251938069,0.5555555555555556,9.0,0.0004907274028854482,Welterweight
37,Max Griffin,0.0006842872743161832,0.5714285714285714,7.0,0.0003910212996092475,Welterweight
38,Michael Morales,0.0003857344881686115,1.0,5.0,0.0003857344881686115,Welterweight
39,Jeremiah Wells,0.0004707732240777177,0.75,8.0,0.0003530799180582883,Welterweight
40,Joaquin Buckley,0.0003362895908669226,1.0,2.0,0.0003362895908669226,Welterweight
41,Phil Rowe,0.0003338068225623182,0.8333333333333334,6.0,0.00027817235213526515,Welterweight
42,Carlston Harris,0.00033663835106191006,0.7777777777777778,9.0,0.0002618298286037078,Welterweight
43,Khaos Williams,0.0003425742072227526,0.7142857142857143,7.0,0.0002446958623019661,Welterweight
44,Trevin Giles,0.0006976041517306154,0.3333333333333333,6.0,0.00023253471724353844,Welterweight
45,Dwight Grant,0.00046340004610442463,0.42857142857142855,7.0,0.0001986000197590391,Welterweight
46,Michael Page,0.00019421080412334842,1.0,1.0,0.00019421080412334842,Welterweight
47,Bryan Battle,0.00023937940200687284,0.8,5.0,0.00019150352160549828,Welterweight
48,Mounir Lazzez,0.00028033449498657693,0.6666666666666666,3.0,0.0001868896633243846,Welterweight
49,Gabriel Bonfim,0.0002786750592375229,0.6666666666666666,3.0,0.00018578337282501527,Welterweight
50,Carlos Prates,0.00014529040793986918,1.0,1.0,0.00014529040793986918,Welterweight
51,Sergey Khandozhko,0.00013945379098087606,1.0,2.0,0.00013945379098087606,Welterweight
52,Matthew Semelsberger,0.0002901753202804724,0.45454545454545453,11.0,0.00013189787285476016,Welterweight
53,Gabe Green,0.000240249929147134,0.5,4.0,0.000120124964573567,Welterweight
54,Ange Loosa,0.00019871332460236782,0.6,5.0,0.00011922799476142069,Welterweight
55,Myktybek Orolbai,9.656162115052675e-05,1.0,1.0,9.656162115052675e-05,Welterweight
56,Mike Malott,0.00011993330019519222,0.8,5.0,9.594664015615379e-05,Welterweight
57,Kevin Jousset,9.393633098660186e-05,1.0,2.0,9.393633098660186e-05,Welterweight
58,Mickey Gall,0.0002486866740045249,0.3333333333333333,6.0,8.289555800150829e-05,Welterweight
59,Danny Roberts,0.00023968769692403908,0.3333333333333333,6.0,7.989589897467968e-05,Welterweight
60,Charles Radtke,7.25029498910782e-05,1.0,2.0,7.25029498910782e-05,Welterweight
61,Jason Witt,0.0001352892350830192,0.5,4.0,6.76446175415096e-05,Welterweight
62,Jonny Parsons,6.725449387811567e-05,1.0,1.0,6.725449387811567e-05,Welterweight
63,Trey Waters,6.650594240423606e-05,1.0,1.0,6.650594240423606e-05,Welterweight
